ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
SCI ACADEMY,LOUISIANA,Abramson Sci Academy,22071,2200237
SCIENCE HILL INDEPENDENT,Kentucky,Science Hill Independent,21199,2105220
SCIENCE TECHNOLOGY ENGINEERING AND MATH ARIZONA (1000050),ARIZONA,Science Technology Engineering and Math Arizona (1000050),04019,0400981
SCIO CENTRAL SCHOOL DISTRICT,New York,SCIO CENTRAL SCHOOL DISTRICT,36003,3626190
SCIO SD 95,Oregon,Scio SD 95,41043,4111040
SCIOTO COUNTY JOINT VOCATIONAL SCHOOL,Ohio,Scioto County Career Technical Center,39145,3905149
SCIOTO VALLEY LOCAL,Ohio,Scioto Valley Local,39131,3904913
SCIOTOVILLE COMMUNITY SCHOOL,Ohio,Sciotoville,39145,3900123
SCITECH ACADEMY CHARTER SCHOOL,MINNESOTA,SciTech Academy Charter School,27053,2700439
SCITUATE,Rhode Island,Scituate,44007,4400960
SCITUATE,Massachusetts,Scituate,25023,2510560
SCOBEY K-12 SCHOOLS,Montana,Scobey K-12 Schools,30019,3023670
SCOTCH PLAINS-FANWOOD SCHOOL DISTRICT,New Jersey,Scotch Plains-Fanwood School District,34039,3414670
SCOTIA UNION ELEMENTARY,California,Scotia Union Elementary,06023,0636100
SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT,New York,SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT,36093,3626310
SCOTLAND CO. R-I,Missouri,SCOTLAND CO. R-I,29199,2920700
SCOTLAND COUNTY SCHOOLS,North Carolina,Scotland County Schools,37165,3704200
SCOTLAND SCHOOL DISTRICT,Connecticut,Scotland School District,09015,0903960
SCOTLAND SCHOOL DISTRICT 04-3,South Dakota,Scotland School District 04-3,46009,4665180
SCOTT CITY R-I,Missouri,SCOTT CITY R-I,29201,2915450
SCOTT CO SCHOOL DIST,Mississippi,SCOTT CO SCHOOL DIST,28123,2803900
SCOTT CO. CENTRAL,Missouri,SCOTT CO. CENTRAL,29201,2921420
SCOTT CO. R-IV,Missouri,SCOTT CO. R-IV,29201,2904890
SCOTT COUNTY,Kentucky,Scott County,21209,2105260
SCOTT COUNTY,Kansas,Scott County,20171,2000017
SCOTT COUNTY,Tennessee,Scott County,47151,4703720
SCOTT COUNTY PUBLIC SCHOOLS,Virginia,SCOTT CO PBLC SCHS,51169,5103480
SCOTT COUNTY SCHOOL DISTRICT 1,Indiana,Scott County School District 1,18143,1809990
SCOTT COUNTY SCHOOL DISTRICT 2,Indiana,Scott County School District 2,18143,1810020
SCOTT COUNTY SCHOOLS NETWORK (SCSN),Minnesota,SCOTT COUNTY SCHOOLS NETWORK (SCSN),27139,2700323
SCOTT VALLEY UNIFIED,California,Scott Valley Unified,06093,0600159
SCOTT-MORGAN CUSD 2,Illinois,Scott-Morgan CUSD 2,17171,1706600
SCOTTS VALLEY UNIFIED,California,Scotts Valley Unified,06087,0600043
SCOTTSBLUFF PUBLIC SCHOOLS,Nebraska,SCOTTSBLUFF PUBLIC SCHOOLS,31157,3176470
SCOTTSBORO CITY,Alabama,Scottsboro City,01071,0102940
SCOTTSDALE COUNTRY DAY SCHOOL (91110),Arizona,Scottsdale Country Day School (91110),04013,0400879
SCOTTSDALE PREPARATORY ACADEMY (89756),Arizona,Scottsdale Preparatory Academy (89756),04013,0400747
SCOTTSDALE UNIFIED DISTRICT (4240),Arizona,Scottsdale Unified District (4240),04013,0407570
SCRANTON 33,North Dakota,SCRANTON 33,38011,3800023
SCRANTON SCHOOL DISTRICT,Arkansas,SCRANTON SCHOOL DISTRICT,05083,0512180
SCRANTON SD,Pennsylvania,Scranton SD,42069,4221090
SCREVEN COUNTY,Georgia,Screven County,13251,1304500
SCRIBNER-SNYDER COMMUNITY SCHS,Nebraska,SCRIBNER-SNYDER COMMUNITY SCHS,31053,3100076
SCUOLA VITA NUOVA,Missouri,SCUOLA VITA NUOVA,29095,2900019
SCURRY-ROSSER ISD,Texas,SCURRY-ROSSER ISD,48257,4839570
SD 45 DUPAGE COUNTY,Illinois,SD 45 DuPage County,17043,1740350
SD SCH FOR THE BLIND & VISUALLY IMPAIRED,South Dakota,SD SCH FOR THE BLIND & VISUALLY IMPAIRED,46013,4600029
SD U-46,Illinois,SD U-46,17089,1713710
SE NEIGHBORHOOD SCH OF EXCELLENCE,Indiana,SE Neighborhood Sch of Excellence,18097,1800033
SEA GIRT BOROUGH SCHOOL DISTRICT,New Jersey,Sea Girt Borough School District,34025,3414730
SEA ISLE CITY BOARD OF EDUCATION,New Jersey,Sea Isle City Board of Education,34009,3414760
SEABROOK SCHOOL DISTRICT,New Hampshire,Seabrook School District,33015,3306150
SEACOAST CHARTER SCHOOL,New Hampshire,Seacoast Charter School,33017,3300031
SEAFORD SCHOOL DISTRICT,Delaware,Seaford School District,10005,1001530
SEAFORD UNION FREE SCHOOL DISTRICT,New York,SEAFORD UNION FREE SCHOOL DISTRICT,36059,3626400
SEAGRAVES ISD,Texas,SEAGRAVES ISD,48165,4839600
SEALY ISD,Texas,SEALY ISD,48015,4839630
SEAMAN,Kansas,Seaman,20177,2011490
SEARCY COUNTY SCHOOL DISTRICT,Arkansas,SEARCY COUNTY SCHOOL DISTRICT,05129,0509480
SEARCY SCHOOL DISTRICT,Arkansas,SEARCY SCHOOL DISTRICT,05145,0512210
SEARSBURG SCHOOL DISTRICT,Vermont,Searsburg School District,50025,5007200
SEASHORE CHARTER SCHOOLS,Texas,SEASHORE CHARTER SCHOOLS,48355,4800289
SEASIDE HEIGHTS SCHOOL DISTRICT,New Jersey,Seaside Heights School District,34029,3414790
SEASIDE PARK BOROUGH SCHOOL DISTRICT,New Jersey,Seaside Park Borough School District,34029,3414820
SEASIDE SD 10,Oregon,Seaside SD 10,41007,4111100
SEATTLE CENTRAL COMMUNITY COLLEGE,Washington,Seattle Central Community College,53033,5300323
SEATTLE SCHOOL DISTRICT NO. 1,Washington,Seattle School District No. 1,53033,5307710
SEBAGO PUBLIC SCHOOLS,MAINE,Sebago Public Schools,23005,2314837
SEBASTOPOL INDEPENDENT CHARTER DISTRICT,CALIFORNIA,Sebastopol Independent Charter District,06097,0602477
SEBASTOPOL UNION ELEMENTARY,California,Sebastopol Union Elementary,06097,0636180
SEBEKA PUBLIC SCHOOL DISTRICT,Minnesota,SEBEKA PUBLIC SCHOOL DISTRICT,27159,2732970
SEBOEIS PLT PUBLIC SCHOOLS,Maine,Seboeis Plt Public Schools,23019,2300057
SEBRING LOCAL,Ohio,Sebring Local,39099,3904835
SECAUCUS SCHOOL DISTRICT,New Jersey,Secaucus School District,34017,3414850
SEDALIA 200,Missouri,SEDALIA 200,29159,2927830
SEDGWICK PUBLIC SCHOOLS,Kansas,Sedgwick Public Schools,20079,2011550
SEDGWICK PUBLIC SCHOOLS,Maine,Sedgwick Public Schools,23009,2312140
SEDONA CHARTER SCHOOL INC. (4492),Arizona,Sedona Charter School Inc. (4492),04025,0400089
SEDONA-OAK CREEK JUSD #9 (4467),Arizona,Sedona-Oak Creek JUSD #9 (4467),04005,0409733
SEDRO-WOOLLEY SCHOOL DISTRICT,Washington,Sedro-Woolley School District,53057,5307740
SEED PCS,District of Columbia,SEED PCS,11001,1100022
SEED SCHOOL OF MARYLAND,Maryland,SEED School of Maryland,24510,2400027
SEEDS OF HEALTH INC,WISCONSIN,Seeds of Health Inc,55079,5500074
SEEKONK,Massachusetts,Seekonk,25005,2510590
SEELEY LAKE ELEM,Montana,Seeley Lake Elem,30063,3023730
SEELEY UNION ELEMENTARY,California,Seeley Union Elementary,06025,0636210
SEEM COLLABORATIVE,MASSACHUSETTS,SEEM Collaborative,25017,2500573
SEGUE INSTITUTE FOR LEARNING,Rhode Island,Segue Institute for Learning,44007,4400014
SEGUIN ISD,Texas,SEGUIN ISD,48187,4839690
SEIAD ELEMENTARY,California,Seiad Elementary,06093,0636240
SEILING,Oklahoma,SEILING,40043,4027240
SEJONG ACADEMY OF MINNESOTA,Minnesota,Sejong Academy of Minnesota,27123,2700386
SELA PCS,District of Columbia,Sela PCS,11001,1100088
SELAH SCHOOL DISTRICT,Washington,Selah School District,53021,5307770
SELBY AREA SCHOOL DISTRICT 62-5,South Dakota,Selby Area School District 62-5,46129,4601028
SELF DEVELOPMENT ACADEMY-PHOENIX (92381),ARIZONA,Self Development Academy-Phoenix (92381),04013,0400934
SELF DEVELOPMENT CHARTER SCHOOL (79072),Arizona,Self Development Charter School (79072),04013,0400232
SELF DEVELOPMENT EASTMARK ACADEMY (520359),ARIZONA,Self Development Eastmark Academy (520359),04013,0400994
SELF DEVELOPMENT SCOTTSDALE ACADEMY (308420),ARIZONA,Self Development Scottsdale Academy (308420),04013,0400995
SELFRIDGE 8,North Dakota,SELFRIDGE 8,38085,3816510
SELIGMAN UNIFIED DISTRICT (4472),Arizona,Seligman Unified District (4472),04025,0407630
SELINSGROVE AREA SD,Pennsylvania,Selinsgrove Area SD,42109,4221120
SELKIRK SCHOOL DISTRICT,Washington,Selkirk School District,53051,5307800
SELMA CITY,Alabama,Selma City,01047,0102970
SELMA UNIFIED,California,Selma Unified,06019,0636270
SELMAVILLE CCSD 10,Illinois,Selmaville CCSD 10,17121,1735770
SEMINOLE,Oklahoma,SEMINOLE,40133,4027300
SEMINOLE,Florida,SEMINOLE,12117,1201710
SEMINOLE COUNTY,Georgia,Seminole County,13253,1304530
SEMINOLE COUNTY ILC,Oklahoma,SEMINOLE COUNTY ILC,40133,4000759
SEMINOLE ISD,Texas,SEMINOLE ISD,48165,4839750
SEMITROPIC ELEMENTARY,California,Semitropic Elementary,06029,0636330
SENATH-HORNERSVILLE C-8,Missouri,SENATH-HORNERSVILLE C-8,29069,2927870
SENATOBIA MUNICIPAL SCHOOL DIST,Mississippi,SENATOBIA MUNICIPAL SCHOOL DIST,28137,2803930
SENECA AREA SCHOOL DISTRICT,Wisconsin,Seneca Area School District,55023,5513470
SENECA CCSD 170,Illinois,Seneca CCSD 170,17099,1735820
SENECA EAST LOCAL,Ohio,Seneca East Local,39147,3904968
SENECA FALLS CENTRAL SCHOOL DISTRICT,New York,SENECA FALLS CENTRAL SCHOOL DISTRICT,36099,3626430
SENECA HIGHLANDS CAREER AND TECHNICAL CENTER,Pennsylvania,Seneca Highlands Career and Technical Center,42083,4280630
SENECA HIGHLANDS IU 9,Pennsylvania,Seneca Highlands IU 9,42083,4289190
SENECA R-VII,Missouri,SENECA R-VII,29145,2927900
SENECA TWP HSD 160,Illinois,Seneca Twp HSD 160,17099,1735850
SENECA VALLEY SD,Pennsylvania,Seneca Valley SD,42019,4222440
SENTINEL,Oklahoma,SENTINEL,40149,4027330
SENTINEL ELEMENTARY DISTRICT (4250),Arizona,Sentinel Elementary District (4250),04013,0407680
SEQUATCHIE COUNTY,Tennessee,Sequatchie County,47153,4703750
SEQUIM SCHOOL DISTRICT,Washington,Sequim School District,53009,5307830
SEQUOIA CAREER ACADEMY DISTRICT,CALIFORNIA,Accelerated Achievement Academy District,06045,0601877
SEQUOIA UNION ELEMENTARY,California,Sequoia Union Elementary,06107,0636360
SEQUOIA UNION HIGH,California,Sequoia Union High,06081,0636390
SEQUOYAH,New Mexico,SEQUOYAH,35001,3500015
SEQUOYAH,Oklahoma,SEQUOYAH,40131,4027390
SER-NINOS CHARTER SCHOOL,Texas,SER-NINOS CHARTER SCHOOL,48201,4800018
SERENA CUSD 2,Illinois,Serena CUSD 2,17099,1715880
SERGEANT BLUFF-LUTON COMM SCHOOL DISTRICT,Iowa,Sergeant Bluff-Luton Comm School District,19193,1925590
SESSER-VALIER CUSD 196,Illinois,Sesser-Valier CUSD 196,17055,1735940
SEVASTOPOL SCHOOL DISTRICT,Wisconsin,Sevastopol School District,55029,5513500
SEVEN GENERATIONS CS,Pennsylvania,Seven Generations CS,42077,4200818
SEVEN HILLS PREPARATORY ACADEMY,Minnesota,Seven Hills Preparatory Academy,27053,2700284
SEVEN OAKS CLASSICAL SCHOOL,INDIANA,Seven Oaks Classical School,18105,1800176
SEVIER COUNTY,Tennessee,Sevier County,47155,4703780
SEVIER DISTRICT,Utah,Sevier District,49041,4900930
SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,New York,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,36059,3626520
SEWARD PUBLIC SCHOOLS,Nebraska,SEWARD PUBLIC SCHOOLS,31159,3176560
SEYMOUR COMM SCHOOL DISTRICT,Iowa,Seymour Comm School District,19185,1925620
SEYMOUR COMMUNITY SCHOOL DISTRICT,Wisconsin,Seymour Community School District,55087,5513530
SEYMOUR COMMUNITY SCHOOLS,Indiana,Seymour Community Schools,18071,1810080
SEYMOUR ISD,Texas,SEYMOUR ISD,48023,4839780
SEYMOUR R-II,Missouri,SEYMOUR R-II,29225,2927930
SEYMOUR SCHOOL DISTRICT,Connecticut,Seymour School District,09009,0903990
SHADE CANYON DISTRICT,CALIFORNIA,Shade Canyon District,06033,0602576
SHADE-CENTRAL CITY SD,Pennsylvania,Shade-Central City SD,42111,4221180
SHADY GROVE,Oklahoma,SHADY GROVE,40021,4027420
SHADY POINT,Oklahoma,SHADY POINT,40079,4027450
SHADYSIDE LOCAL,Ohio,Shadyside Local,39013,3904600
SHAFFER UNION ELEMENTARY,California,Shaffer Union Elementary,06035,0636420
SHAKER HEIGHTS CITY,Ohio,Shaker Heights City,39035,3904475
SHAKER REGIONAL SAU OFFICE,New Hampshire,Shaker Regional SAU Office,33001,3300028
SHAKER REGIONAL SCHOOL DISTRICT,New Hampshire,Shaker Regional School District,33001,3306180
SHAKOPEE PUBLIC SCHOOL DISTRICT,Minnesota,SHAKOPEE PUBLIC SCHOOL DISTRICT,27139,2733000
SHALER AREA SD,Pennsylvania,Shaler Area SD,42003,4221200
SHALLOWATER ISD,Texas,SHALLOWATER ISD,48303,4839870
SHAMOKIN AREA SD,Pennsylvania,Shamokin Area SD,42097,4221240
SHAMONG TOWNSHIP SCHOOL DISTRICT,New Jersey,Shamong Township School District,34005,3414880
SHAMROCK ISD,Texas,SHAMROCK ISD,48483,4839900
SHANDON JOINT UNIFIED,California,Shandon Joint Unified,06079,0636450
SHANEL VALLEY ACADEMY DISTRICT,CALIFORNIA,Shanel Valley Academy District,06045,0602569
SHANKSVILLE-STONYCREEK SD,Pennsylvania,Shanksville-Stonycreek SD,42111,4221270
SHARED SERVICES,CONNECTICUT,Shared Services,09005,0900223
SHARON,Massachusetts,Sharon,25021,2510620
SHARON CITY SD,Pennsylvania,Sharon City SD,42085,4221330
SHARON J11 SCHOOL DISTRICT,Wisconsin,Sharon J11 School District,55127,5513560
SHARON SCHOOL DISTRICT,Connecticut,Sharon School District,09005,0904020
SHARON SCHOOL DISTRICT,Vermont,Sharon School District,50027,5007260
SHARON SPRINGS CENTRAL SCHOOL DISTRICT,New York,SHARON SPRINGS CENTRAL SCHOOL DISTRICT,36095,3626580
SHARON-MUTUAL,Oklahoma,SHARON-MUTUAL,40153,4021030
SHARPSVILLE AREA SD,Pennsylvania,Sharpsville Area SD,42085,4221420
SHARYLAND ISD,Texas,SHARYLAND ISD,48215,4839930
SHASTA CHARTER ACADEMY DISTRICT,CALIFORNIA,Shasta Charter Academy District,06089,0602306
SHASTA COUNTY OFFICE OF EDUCATION,California,Shasta County Office of Education,06089,0691037
SHASTA UNION ELEMENTARY,California,Shasta Union Elementary,06089,0636570
SHASTA UNION HIGH,California,Shasta Union High,06089,0636600
SHASTA VIEW ACADEMY DISTRICT,CALIFORNIA,Shasta View Academy District,06089,0602506
SHASTA-TRINITY ROP,California,Shasta-Trinity ROP,06089,0600125
SHASTA-TRINITY ROP JPA,California,Shasta-Trinity ROP JPA,06089,0601402
SHATTUCK,Oklahoma,SHATTUCK,40045,4027540
SHAW ISLAND SCHOOL DISTRICT,Washington,Shaw Island School District,53055,5307860
SHAWANO SCHOOL DISTRICT,Wisconsin,Shawano School District,55115,5513620
SHAWNEE,Oklahoma,SHAWNEE,40125,4027570
SHAWNEE CUSD 84,Illinois,Shawnee CUSD 84,17181,1742990
SHAWNEE HEIGHTS,Kansas,Shawnee Heights,20177,2012180
SHAWNEE LOCAL,Ohio,Shawnee Local,39003,3904579
SHAWNEE MISSION PUB SCH,Kansas,Shawnee Mission Pub Sch,20091,2011640
SHAWNEE R-III,Missouri,SHAWNEE R-III,29083,2928080
SHAWSHEEN VALLEY REGIONAL VOCATIONAL TECHNICAL,Massachusetts,Shawsheen Valley Regional Vocational Technical,25017,2510615
SHEBOYGAN AREA SCHOOL DISTRICT,Wisconsin,Sheboygan Area School District,55117,5513650
SHEBOYGAN FALLS SCHOOL DISTRICT,Wisconsin,Sheboygan Falls School District,55117,5513680
SHEFFIELD CITY,Alabama,Sheffield City,01033,0103000
SHEFFIELD-SHEFFIELD LAKE CITY,Ohio,Sheffield-Sheffield Lake City,39093,3904476
SHEILA SKIP NOWELL LEADERSHIP ACADEMY,Rhode Island,Sheila Skip Nowell Leadership Academy,44007,4400024
SHELBY - RISING CITY PUBLIC SCHOOLS,Nebraska,SHELBY - RISING CITY PUBLIC SCHOOLS,31143,3176590
SHELBY CITY,Ohio,Shelby City,39139,3910009
SHELBY CO. R-IV,Missouri,SHELBY CO. R-IV,29205,2928110
SHELBY COUNTY,Alabama,Shelby County,01117,0103030
SHELBY COUNTY,Kentucky,Shelby County,21211,2105320
SHELBY EASTERN SCHOOLS,Indiana,Shelby Eastern Schools,18145,1803210
SHELBY ELEM,Montana,Shelby Elem,30101,3023900
SHELBY H S,Montana,Shelby H S,30101,3023910
SHELBY PUBLIC SCHOOLS,Michigan,Shelby Public Schools,26127,2631320
SHELBYVILLE CENTRAL SCHOOLS,Indiana,Shelbyville Central Schools,18145,1810140
SHELBYVILLE CUSD 4,Illinois,Shelbyville CUSD 4,17173,1736090
SHELBYVILLE ISD,Texas,SHELBYVILLE ISD,48419,4839960
SHELDON COMM SCHOOL DISTRICT,Iowa,Sheldon Comm School District,19141,1925980
SHELDON ISD,Texas,SHELDON ISD,48201,4839990
SHELDON R-VIII,Missouri,SHELDON R-VIII,29217,2928170
SHELL KNOB 78,Missouri,SHELL KNOB 78,29009,2928200
SHELL LAKE SCHOOL DISTRICT,Wisconsin,Shell Lake School District,55129,5513710
SHELLEY JOINT DISTRICT,Idaho,SHELLEY JOINT DISTRICT,16011,1602910
SHELTER ISLAND UNION FREE SCHOOL DISTRICT,New York,SHELTER ISLAND UNION FREE SCHOOL DISTRICT,36103,3626640
SHELTON PUBLIC SCHOOLS,Nebraska,SHELTON PUBLIC SCHOOLS,31019,3176620
SHELTON SCHOOL DISTRICT,Washington,Shelton School District,53045,5307900
SHELTON SCHOOL DISTRICT,Connecticut,Shelton School District,09001,0904050
SHENANDOAH COMM SCHOOL DISTRICT,Iowa,Shenandoah Comm School District,19145,1926070
SHENANDOAH COUNTY PUBLIC SCHOOLS,Virginia,SHENANDOAH CO PBLC SCHS,51171,5103510
SHENANDOAH SCHOOL CORPORATION,Indiana,Shenandoah School Corporation,18065,1808280
SHENANDOAH VALLEY GOVERNOR'S SCHOOL,Virginia,SHENANDOAH VALLEY GOVERNORS SCHOOL,51015,5100028
SHENANDOAH VALLEY SD,Pennsylvania,Shenandoah Valley SD,42107,4221490
SHENANGO AREA SD,Pennsylvania,Shenango Area SD,42073,4221510
SHENENDEHOWA CENTRAL SCHOOL DISTRICT,New York,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,36091,3626670
SHEPHERD ELEM,Montana,Shepherd Elem,30111,3023940
SHEPHERD H S,Montana,Shepherd H S,30111,3023970
SHEPHERD ISD,Texas,SHEPHERD ISD,48407,4840020
SHEPHERD PUBLIC SCHOOLS,Michigan,Shepherd Public Schools,26073,2631380
SHERBORN,Massachusetts,Sherborn,25021,2510710
SHERBURNE AND NORTHERN WRIGHT SPECI,MINNESOTA,Sherburne and Northern Wright Speci,27171,2700413
SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,New York,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,36017,3626700
SHERIDAN,Montana,Sheridan,30091,3000075
SHERIDAN COMMUNITY SCHOOLS,Indiana,Sheridan Community Schools,18057,1806480
SHERIDAN COUNTY SCHOOL DISTRICT #1,Wyoming,Sheridan County School District #1,56033,5605690
SHERIDAN COUNTY SCHOOL DISTRICT #2,Wyoming,Sheridan County School District #2,56033,5605695
SHERIDAN COUNTY SCHOOL DISTRICT #3,Wyoming,Sheridan County School District #3,56033,5605680
SHERIDAN ELEM,Montana,Sheridan Elem,30057,3024150
SHERIDAN H S,Montana,Sheridan H S,30057,3024180
SHERIDAN SCHOOL DISTRICT,Arkansas,SHERIDAN SCHOOL DISTRICT,05053,0500015
SHERIDAN SCHOOL DISTRICT NO. 2,Colorado,Sheridan School District No. 2,08005,0806540
SHERIDAN SD 48J,Oregon,Sheridan SD 48J,41071,4111220
SHERIDAN/DANIELS COOP,Montana,Sheridan/Daniels Coop,30091,3000022
SHERMAN CENTRAL SCHOOL DISTRICT,New York,SHERMAN CENTRAL SCHOOL DISTRICT,36013,3626730
SHERMAN COUNTY SD,Oregon,Sherman County SD,41055,4111250
SHERMAN ISD,Texas,SHERMAN ISD,48181,4840080
SHERMAN SCHOOL DISTRICT,Connecticut,Sherman School District,09001,0904080
SHERMAN THOMAS CHARTER DISTRICT,CALIFORNIA,Sherman Thomas Charter District,06039,0602467
SHERMAN THOMAS CHARTER HIGH DISTRICT,CALIFORNIA,Sherman Thomas Charter High District,06039,0601563
SHERMAN THOMAS STEM ACADEMY DISTRICT,CALIFORNIA,Sherman Thomas STEM Academy District,06039,0602225
SHERRARD CUSD 200,Illinois,Sherrard CUSD 200,17131,1736180
SHERRILL CITY SCHOOL DISTRICT,New York,SHERRILL CITY SCHOOL DISTRICT,36065,3626760
SHERWOOD CASS R-VIII,Missouri,SHERWOOD CASS R-VIII,29037,2910320
SHERWOOD MONTESSORI DISTRICT,CALIFORNIA,Sherwood Montessori District,06007,0601845
SHERWOOD SD 88J,Oregon,Sherwood SD 88J,41067,4111290
SHEYENNE VALLEY AREA CAREER & TECHNICAL CENTER,North Dakota,SHEYENNE VALLEY AREA CAREER & TECHNICAL CENTER,38003,3880560
SHEYENNE VALLEY SPECIAL ED UNIT,North Dakota,SHEYENNE VALLEY SPECIAL ED UNIT,38003,3880500
SHIAWASSEE REGIONAL ESD,Michigan,Shiawassee Regional ESD,26155,2680975
SHICKLEY PUBLIC SCHOOLS,Nebraska,SHICKLEY PUBLIC SCHOOLS,31059,3176650
SHIDLER,Oklahoma,SHIDLER,40113,4027630
SHIELDS VALLEY ELEM,Montana,Shields Valley Elem,30067,3000932
SHIELDS VALLEY H S,Montana,Shields Valley H S,30067,3000933
SHIKELLAMY SD,Pennsylvania,Shikellamy SD,42097,4221540
SHILOH CUSD 1,Illinois,Shiloh CUSD 1,17045,1700122
SHILOH ELEMENTARY,California,Shiloh Elementary,06099,0636660
SHILOH VILLAGE SD 85,Illinois,Shiloh Village SD 85,17163,1736210
SHINER ISD,Texas,SHINER ISD,48285,4840110
SHINING ROCK CLASSICAL ACADEMY,NORTH CAROLINA,Shining Rock Classical Academy: CFA,37087,3700389
SHINING STARS MONTESSORI ACADEMY PCS,District of Columbia,Shining Stars Montessori Academy PCS,11001,1100081
SHIOCTON SCHOOL DISTRICT,Wisconsin,Shiocton School District,55087,5513770
SHIPPENSBURG AREA SD,Pennsylvania,Shippensburg Area SD,42055,4221570
SHIRLAND CCSD 134,Illinois,Shirland CCSD 134,17201,1736240
SHIRLEY PUBLIC SCHOOLS,Maine,Shirley Public Schools,23021,2312180
SHIRLEY SCHOOL DISTRICT,Arkansas,SHIRLEY SCHOOL DISTRICT,05141,0512420
SHOALS COMMUNITY SCHOOL CORP,Indiana,Shoals Community School Corp,18101,1810170
SHODAIR SPECIALTY HOSP,Montana,Shodair Specialty Hosp,30049,3000106
SHONTO GOVERNING BOARD OF EDUCATION INC. (6353),Arizona,Shonto Governing Board of Education Inc. (6353),04017,0400154
SHORE EDUCATIONAL COLLABORATIVE,MASSACHUSETTS,Shore Educational Collaborative,25025,2500583
SHORE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Shore Regional High School District,34025,3414940
SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,New York,SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,36103,3626840
SHORELINE SCHOOL DISTRICT,Washington,Shoreline School District,53033,5307920
SHORELINE UNIFIED,California,Shoreline Unified,06041,0636670
SHOREWOOD SCHOOL DISTRICT,Wisconsin,Shorewood School District,55079,5513800
SHOSHONE JOINT DISTRICT,Idaho,SHOSHONE JOINT DISTRICT,16063,1602940
SHOW LOW UNIFIED DISTRICT  (4393),Arizona,Show Low Unified District  (4393),04017,0407700
SHREWSBURY,Massachusetts,Shrewsbury,25027,2510770
SHREWSBURY BOROUGH SCHOOL DISTRICT,New Jersey,Shrewsbury Borough School District,34025,3414970
SHULLSBURG SCHOOL DISTRICT,Wisconsin,Shullsburg School District,55065,5513830
SHUTESBURY,Massachusetts,Shutesbury,25011,2510800
SIATECH ACADEMY SOUTH DISTRICT,CALIFORNIA,SIATech Academy South District,06037,0601681
SIATECH DISTRICT,CALIFORNIA,SIATech District,06073,0601781
SIBLEY EAST SCHOOL DISTRICT,Minnesota,SIBLEY EAST SCHOOL DISTRICT,27143,2700102
SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT,Iowa,Sibley-Ocheyedan Comm School District,19143,1900015
SIDE BY SIDE CHARTER SCHOOL DISTRICT,Connecticut,Side By Side Charter School District,09001,0900016
SIDNEY CENTRAL SCHOOL DISTRICT,New York,SIDNEY CENTRAL SCHOOL DISTRICT,36025,3626850
SIDNEY CITY,Ohio,Sidney City,39149,3910003
SIDNEY COMM SCHOOL DISTRICT,Iowa,Sidney Comm School District,19071,1926250
SIDNEY ELEM,Montana,Sidney Elem,30083,3024200
SIDNEY H S,Montana,Sidney H S,30083,3024230
SIDNEY ISD,Texas,SIDNEY ISD,48093,4840170
SIDNEY PUBLIC SCHOOLS,Nebraska,SIDNEY PUBLIC SCHOOLS,31033,3176710
SIERRA ACADEMY OF EXPEDITIONARY LEARNING DISTRICT,CALIFORNIA,Sierra Academy of Expeditionary Learning District,06057,0602021
